Word,Class
"RT @OneandOnlyTina: What I know:
You support killing babies, mock the handicapped, slept your way into Harvard then ditched your hubby &amp; ki&#8230;",Non-offensive
RT @OnionSports: Yankees Unveil Beautiful Derek Jeter Cage In Monument Park http://t.co/vv6urct4jd http://t.co/gWBNHDyhMl,Non-offensive
"RT @OnlyBiebs1D: please bitch, i'm a BELIEBER &lt;3",Offensive
"RT @OnlyBiirdsTweet: big booty bitches , big booty bitches ;*",Offensive
"RT @OnlyRosee: The way Tricksnipers act is just ugh. 89% of them are Chief Keef, Soulja Boy niggers. Absolute sewage waste",Offensive
RT @OoO_Mr_Perfect: And ima keep fuckn like I love this bitch &#127908;&#128553;,Offensive
RT @Ooh_3b_kilt_em: #GlizzyGang bitch,Offensive
"RT @OpWarriorTeam: Hi ho, hi ho, it's off to work we go! It's #MilitaryMonday...support a military organization today. http://t.co/9DV04wk&#8230;",Non-offensive
RT @Opatz1: Fuck michelle obama. That monkey doesnt belong in the white house,Offensive
RT @OptimisticDoom: Fuck tranny porn. Hermaphrodite porn is where it's at.,Offensive
"RT @OptimisticDoom: I got hit on today!!!!

I'm back, bitches!!!

*dies*",Offensive
"RT @Oreo: @Honda Wow, and we thought we were the only ones with a luxurious interior #OreoLove #StufOfLegend",Non-offensive
"RT @Oreo: Dear dessert heaven, fangs so much for these Oreo Spooky Ball Vampires. #OreoCookieBalls http://t.co/I3iyRL72sD http://t.co/wNzBh&#8230;",Non-offensive
"RT @Oreo: Woah, the depth of this Ollusion is unreal. #Ollusions http://t.co/fuiVThvZyN",Non-offensive
RT @OsvaldoVause: This bitch about to get dragged LMFAOO omg,Offensive
RT @OurGreatAmerica: RT if you think twitter should change the bird logo to a badass bald eagle #Merica &#127482;&#127480;,Offensive
RT @OutTheOrdinary1: @P0WERS_ @eGoaTizM @Blaztful powers U don't go outside ur tanks been on full for 2 months U anti social monkey,Offensive
RT @Overdoselove_: The sound of wet pussy &#128571;&#128166; &gt;&gt;,Offensive
"RT @OverlyManlyMann: Every zoo is a petting zoo, if you're not a pussy.",Offensive
RT @Ovoxo_alamillo: When hoes talk shit about other hoes... I'll just leave this here.,Offensive
"RT @OwwKiana: Little niggas love making their girlfriends look stupid, entertaining other bitches and so on, a real nigga would never&#128175;",Offensive
"RT @OxDictionary: I got bitches""

Definition: I'm with some female friends who don't know that I'm referring to them as bitches.",Offensive
RT @Oz_lito: @1stBlocJeremiah Ctfu hell yea yo bitch ever got out?,Offensive
RT @Oz_lito: @1stBlocJeremiah ctfu bitch talm bout I needs my respect,Offensive
RT @Oz_lito: @1stBlocJeremiah ctfu u bloody but yes doe bitch ball out cracked hot dog in dat bitch,Offensive
RT @Oz_lito: Dis bitch wanna smoke all our weed,Offensive
"RT @PABLO_BAAIH: ""Good pussy is pussy that makes you really think bout making her breakfast pussy that makes you think about being a father""",Offensive
"RT @PATisDOPE: If she thick and you get her pregnant, she gonna become fat, and you gonna be the nigga with the big bitch",Offensive
"RT @PBSAmerMasters: Happy birthday, Bob Newhart! The comedic legend turns 85 today: http://t.co/YOSx2VdAjb #AmericanMasters http://t.co/gew&#8230;",Non-offensive
RT @PETTYfcknANN: gimmmmmie a hoodrat bitch,Offensive
RT @PLANES_OVAlames: Stephen A. Smith Responds To People Calling Him An Uncle Tom/Sell-Out!&#128175; http://t.co/scC8STdMgU,Offensive
RT @POONSoaker: Fucking bitches throwing THOTS,Offensive
RT @POONsoaker: Her pussy A1 if she can quote over 15 boosie quotes,Offensive
RT @POONsoaker: Y'all so trash @Cowboys,Non-offensive
RT @POONsoaker: You retarded if you say Birdmsn don't go hard.,Offensive
RT @PRAYINGFORGEMS: the timeline boring because all the hoes out right now probably getting fucked or planning too,Offensive
RT @PRAYINGFORHEAD: every time bobby bitch comes on https://t.co/VHR6vZ8ZR1,Offensive
RT @PRAYINGFORHEAD: hide ur bitches or else http://t.co/MLswmlArKf,Offensive
RT @PRAYINGFORHEAD: mmy nigga flavio said deuces hoe http://t.co/pcMVjQXmUZ,Offensive
RT @PRAYINGFORHEAD: no sex bitch i only want the decks bitch (yu-gi-oh),Offensive
RT @PRAYINGFORHEAD: pussy boy don't want war,Offensive
RT @PRAYINGFORHEAD: tyga used to be good before he got into this swag fag shit,Offensive
RT @PRAYINGFORHEAD: ya pussy stank @_ANGELSAMUELS http://t.co/i9tXjSDOZZ,Offensive
RT @PRETTYGIRLNEICE: Yes Mimi bitch yo dumb ass got played,Offensive
RT @PRIVALEDGE: Undercover hoes,Offensive
RT @PSQ_LOADUPP: I never met a faithfull bitch,Offensive
"RT @PS_IRuddYou: There's a different between a slut and a bitch...

A slut will sleep with anyone.

A bitch will sleep with anyone... But y&#8230;",Offensive
RT @PacDaGoat: I really hate attention seeking hoes. Hope they all die,Offensive
RT @PacDaGoat: You a hoe if you give your number to another nigga while you got a man,Offensive
RT @Pachino__: y'all be dick riding and praising these hoes that's why half of Miami feel like they celebs off this social media shit,Offensive
"RT @Pacific_Tomb: You hoes wanna tweet and talk about equality then hope solo better never see her family again,and go to prison and never &#8230;",Offensive
RT @Pacino718: RT @Crucifixio: &#128077; &#8220;Fuck the skinny bitches in the club!&#8221; - @NICKIMINAJ #ANACONDA http://t.co/HqigE3CqNa,Offensive
RT @PacmanJonez: @HarlanCoben @taylor_TM @PhilWOTG they are both bitches.,Offensive
"RT @PacmansBack: I don't even delete my typos, it is what it is bitch",Offensive
RT @PapaRockk_: My mom paid $5 to hold this monkey &amp; look what he did &#128553;&#128514; http://t.co/t5ZkMd8Xeh,Non-offensive
"RT @Papa_Erwin: This beat deserves Hennessey, a bad bitch, &amp; a bag of weed. The Holy Trinity",Offensive
RT @Papa_Woodall: I hate bitches who be laughing with they teeth. That shit is scary as fuck to witness. Like cover your mouth hoe.,Offensive
RT @PapasPaid: My monday bitch keep her ass up and face down,Offensive
RT @PapasPaid: My tuesday bitch man I aint even hit it yet just finger pop her pussy just to sit and get the kitty wet,Offensive
RT @PapiRawAf: Im a pimp tho no limp hoe,Offensive
RT @Papi_Chulo25: The fact that all y'all hoes gettin pregnant wit no ring on ya finger &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,Offensive
"RT @ParadoxicalMike: I'm a tramp, ho, AND a slut.",Offensive
RT @ParisBurned: When they run out of dick inside the pussy. RT @VizyIsIgnant: How do straight dudes know if their dick is small??,Offensive
"RT @ParkerHouk1: If I could be anywhere on earth right now, you know it would be Yankees Stadium",Non-offensive
RT @Partyprobs: If you open a beer and don't finish it you are what is known as a little bitch,Offensive
RT @PatVPeters: Texas ranchers: Terrorists reportedly caught at border; feds clam up http://t.co/1vynD9zbpH,Non-offensive
